	=subtotal(109,B3:B3)										Total	Unique	Corrected	
10.0	1	CONT_050|gi|280816|pir||A37343	contaminant	14.3	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	17	0	0.000	17	0	0.500	CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
10.01	1	CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	redundant	13.1	458	49644	KERATIN, TYPE I CYTOSKELETAL 13 (CYTOKERATIN 13) (K13) (CK 13) [Homo sapiens].	17	0	0.000	17	0	0.500	CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
11.0	1	CONT_064|gi|254622|bbs|112352	contaminant	58.0	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	86	59	0.686	86	59	78.140	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
11.01	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	58.0	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	86	59	0.686	86	59	78.140	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
12.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	53.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	119	114	0.958	119	114	116.346	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
13.0	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	contaminant	6.4	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	20	2	0.100	20	2	2.593	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
14.0	1	CONT_071|gi|181400	contaminant	30.0	483	53689	(M34225) cytokeratin 8 [Homo sapiens].	33	2	0.061	33	2	9.027	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
15.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	35.3	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	42	3	0.071	42	3	13.955	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
15.01	1	CONT_103|gi|2119212|pir||I37982	redundant	35.2	483	53704	Keratin 8 - human [Homo sapiens].	42	3	0.071	42	3	13.955	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
15.02	1	CONT_124|gi|105815|pir||A34720	redundant	35.2	483	53748	cytokeratin 8 (version 2) [Homo sapiens].	42	3	0.071	42	3	13.955	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
15.03	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	35.2	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	42	3	0.071	42	3	13.955	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
16.0	1	CONT_074|gi|1070608|pir||KRHU9	contaminant	12.5	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	17	0	0.000	17	0	0.000	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
16.01	1	CONT_099|gi|417200|sp|P08727|K1CS_HUMAN	redundant	12.5	400	44105	KERATIN, TYPE I CYTOSKELETAL 19 (CYTOKERATIN 19) (K19) (CK 19) [Homo sapiens].	17	0	0.000	17	0	0.000	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
17.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	21.6	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	15	12	0.800	15	12	12.255	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313
17.01	1	CONT_077|gi|106851|pir||S06889	redundant	21.9	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	15	12	0.800	15	12	12.255	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313
18.0	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	contaminant	33.2	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	58	5	0.086	58	5	27.021	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
19.0	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	contaminant	36.7	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	45	8	0.178	45	8	17.954	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
20.0	1	CONT_083|gi|386849	contaminant	38.5	563	59952	(L00205) keratin type II [Homo sapiens].	55	1	0.018	55	1	14.656	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
20.01	1	CONT_139|gi|71533|pir||KRHUEB	redundant	38.6	562	59821	keratin, 56K type II cytoskeletal [Homo sapiens].	55	1	0.018	55	1	14.656	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
21.0	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	contaminant	48.3	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	142	48	0.338	142	48	126.477	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
22.0	1	CONT_089|gi|71536|pir||KRHU2	contaminant	36.5	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	94	5	0.053	94	5	12.941	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
23.0	1	CONT_092|gi|71528|pir||KRHU0	contaminant	46.5	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	124	101	0.815	124	101	119.277	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
23.01	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	redundant	46.5	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	124	101	0.815	124	101	119.277	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
24.0	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	contaminant	35.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	30	9	0.300	30	9	15.011	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
25.0	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	contaminant	11.6	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	22	0	0.000	22	0	0.000	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN
26.0	1	CONT_102|gi|88044|pir||S01068	contaminant	11.3	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	17	2	0.118	17	2	3.434	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
26.01	1	CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	redundant	8.6	534	57265	KERATIN, TYPE II CYTOSKELETAL 4 (CYTOKERATIN 4) (K4) (CK4) [Homo sapiens].	17	2	0.118	17	2	3.434	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666
27.0	1	CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN	contaminant	38.8	564	59998	KERATIN, TYPE II CYTOSKELETAL 6B (CYTOKERATIN 6B) (CK 6B) (K6B KERATIN) [Homo sapiens].	60	0	0.000	60	0	0.000	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
