New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Jan 18 13:51:14 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CarbonSources	Unique_CarbonSources	Corrected_CarbonSources	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources	TotInt_131N_CarbonSources	TotInt_131C_CarbonSources
11	1	CONT_064|gi|254622|bbs|112352 (+1)	CONT_064|gi|254622|bbs|112352&CONT_072|gi|547754|sp|P35908|K22E_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	58.0	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	86	59	0.686	86	59	77.329	59	10070325.5923	6291465.78076	4276022.59564	5303165.65253	10109819.5628	10776245.0408	15161921.0237	12053637.2869	6204485.05475	324102.069583	102464.248382
12	1	CONT_068|gi|1082558|pir||S41161	 	 	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	53.6	623	62129	keratin 9, cytoskeletal [Homo sapiens].	119	114	0.958	119	114	116.317	114	20219084.1378	8026133.24103	6899386.57816	8257256.3808	18792354.0057	19133664.8102	27399817.0877	21249186.8967	11338360.4848	736444.296782	276048.983823
13	1	CONT_070|gi|547752|sp|Q01546|K22O_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	6.4	638	65870	KERATIN, TYPE II CYTOSKELETAL 2 ORAL (CYTOKERATIN 2P) (K2P) (CK 2P) [Homo sapiens].	20	2	0.100	20	2	2.489	2	129405.556641	143023.462891	154098.839844	102710.65625	94801.796875	108402.859374	186414.011719	170602.980469	180930.320313	5501.859314	5470.018249
17	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN (+1)	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN&CONT_077|gi|106851|pir||S06889	 	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313	contaminant	21.6	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	15	12	0.800	15	12	12.250	12	509884.56543	452211.355471	142337.37616	128806.61548	396533.451659	588107.841795	188040.118164	199046.943116	607772.675292	428372.010255	10176.034026
18	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	33.2	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	58	5	0.086	58	5	26.747	5	78029.944825	45161.442627	44623.384155	36666.107788	50559.049805	58817.323731	65647.303223	58667.415284	46288.54712	150.0	150.0
19	1	CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	36.7	472	51662	KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens].	45	8	0.178	45	8	16.986	8	390041.773437	175700.724608	183858.978516	246569.044922	546316.046877	510170.953124	461927.654298	341096.393555	247376.768556	8323.79126	3651.195282
21	1	CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	48.3	644	66017	KERATIN, TYPE II CYTOSKELETAL 1 (CYTOKERATIN 1) (K1) (CK 1) (67 KD CYTOKERATIN) (HAIR ALPHA PROTEIN) [Homo sapiens].	142	48	0.338	142	48	124.705	48	6795642.6131	3589849.12537	2505778.20807	3570142.01074	6329271.28174	7061590.93549	9673246.47559	7346915.50805	4006019.99139	173563.353422	54209.03653
22	1	CONT_089|gi|71536|pir||KRHU2	 	 	CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	36.5	493	52788	keratin, 67K type II cytoskeletal (fragment) [Homo sapiens].	94	5	0.053	94	5	12.756	5	511141.074219	261484.522461	175503.788574	238381.001953	504723.577148	562670.570313	718766.625	569984.677735	293140.59375	12855.410828	2263.577362
23	1	CONT_092|gi|71528|pir||KRHU0 (+1)	CONT_092|gi|71528|pir||KRHU0&CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	46.5	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	124	101	0.815	124	101	119.084	101	9511817.19437	4653147.28754	3739168.09344	5036329.07734	9872805.75544	9966228.20745	13036356.4941	10304326.2735	6411478.80615	318480.945834	118415.579131
24	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	35.9	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	30	9	0.300	30	9	14.579	9	277670.825196	93533.982299	135472.362306	99408.49121	621877.812501	343567.379395	266850.237305	204646.290528	225762.413085	9297.715912	4788.881623
25	1	CONT_101|gi|125081|sp|P19012|K1CO_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	11.6	456	49167	KERATIN, TYPE I CYTOSKELETAL 15 (CYTOKERATIN 15) (K15) (CK 15) [Homo sapiens].	22	0	0.000	22	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	1	CONT_102|gi|88044|pir||S01068 (+1)	CONT_102|gi|88044|pir||S01068&CONT_119|gi|547753|sp|P19013|K2C4_HUMAN	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666	contaminant	11.3	408	45507	keratin 4, type II, cytoskeletal (fragment) [Homo sapiens].	17	2	0.118	17	2	3.355	2	73762.648437	9106.776856	34690.609375	41096.142578	305371.179688	106896.015625	65660.939453	29494.067383	61132.720703	434.635803	1345.742615
28	1	CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	37.8	564	60199	KERATIN, TYPE II CYTOSKELETAL 6C (CYTOKERATIN 6C) (CK 6C) (K6C KERATIN) [Homo sapiens].	61	2	0.033	61	2	22.677	2	165538.277344	26617.868164	64289.129883	70076.43164	219982.6875	155659.417969	180090.742188	106986.714843	98378.917969	1500.47583	2769.751831
29	1	CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	38.8	564	60222	KERATIN, TYPE II CYTOSKELETAL 6E (CYTOKERATIN 6E) (CK 6E) (K6E KERATIN) [Homo sapiens].	61	0	0.000	61	0	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	38.8	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	64	0	0.000	64	0	1.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31	1	CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	50.3	384	42468	KERATIN, TYPE II CYTOSKELETAL 6D (CYTOKERATIN 6D) (CK 6D) (K6D KERATIN) [Homo sapiens].	53	0	0.000	53	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	1	CONT_142|gi|88053|pir||A29666	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	8.4	629	64447	keratin, 65K type II cytoskeletal [Homo sapiens].	21	0	0.000	21	0	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	1	CONT_154|gi|1181996 (+3)	CONT_154|gi|1181996&CONT_173|gi|1903218|gnl|PID|e255345&CONT_174|gi|1903220|gnl|PID|e255346&CONT_178|gi|2190400|gnl|PID|e321549	 	CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	6.6	425	47034	(X81420) hair type II basic keratin [Homo sapiens].	5	3	0.600	5	3	3.171	3	26712.590332	24648.517089	33762.557129	46622.899658	39609.13501	44998.268799	38740.258789	35004.82373	37883.924805	597.087891	369.681091
35	1	CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	 	 	CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	5.1	494	53511	KERATIN, TYPE I CYTOSKELETAL 12 (CYTOKERATIN 12) [Homo sapiens].	6	0	0.000	6	0	0.500	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36	1	REV_CONT_064 (+1)	REV_CONT_064&REV_CONT_072	 	 	reversed	5.3	645	65911	REVERSED.	2	2	1.000	2	2	2.000	2	476465.764893	389249.016113	523084.293457	59775.027344	58694.717285	38245.071289	232661.108887	165496.689697	226150.456543	6260.69873	5999.345215
37	1	REV_CONT_088	 	 	REV_CONT_088, REV_CONT_089	reversed	4.3	644	66017	REVERSED.	2	1	0.500	2	1	1.500	1	18191.076172	15855.276367	15521.494141	10015.303711	10660.889648	8334.849609	21105.353516	18388.78125	19212.853516	603.330444	444.906189
38	1	REV_CONT_089 (+1)	REV_CONT_089&REV_CONT_143	 	REV_CONT_088, REV_CONT_089	reversed	7.3	493	52788	REVERSED.	2	1	0.500	2	1	1.500	1	2409.154297	1837.575684	1853.390503	630.248169	150.0	576.670105	1872.724731	786.609802	965.922852	150.0	150.0
39	1	REV_P00958	 	 	 	reversed	3.5	751	85677	REVERSED.	2	2	1.000	2	2	2.000	2	22465.372559	22825.625976	24505.476806	23579.302246	24849.894531	24687.036133	29073.866211	24861.941406	26574.589356	732.550049	607.157104
40	1	REV_P02829 (+1)	REV_P02829&REV_P15108	 	 	reversed	3.1	709	81405	REVERSED.	2	2	1.000	2	2	2.000	2	131464.922852	101785.727539	105602.921876	86753.597657	105827.304688	104626.03125	77875.892579	66645.006347	77630.170899	3453.668457	2540.969971
